m_phi,θ_squared,N_phi
0.0290561,3.74025e-06,0.000101125
0.0290561,3.60453e-06,9.7456e-05
0.0290561,3.47374e-06,9.39196e-05
0.0290561,3.34769e-06,9.05116e-05
0.0290561,3.22621e-06,8.72273e-05
0.0290561,3.10914e-06,8.40622e-05
0.0290561,2.99632e-06,8.10118e-05
0.0290561,2.8876e-06,7.80722e-05
0.0290561,2.78282e-06,7.52393e-05
0.0290561,2.68184e-06,7.25091e-05
0.0290561,2.58453e-06,6.9878e-05
0.0290561,2.49074e-06,6.73424e-05
0.0290561,2.40036e-06,6.48988e-05
0.0290561,2.31326e-06,6.25438e-05
0.0290561,2.22932e-06,6.02744e-05
0.0290561,2.14843e-06,5.80872e-05
0.0290561,2.07047e-06,5.59795e-05
0.0290561,1.99534e-06,5.39482e-05
0.0290561,1.92294e-06,5.19906e-05
0.0290561,1.85316e-06,5.0104e-05
0.0290561,1.78592e-06,4.82859e-05
0.0290561,1.72111e-06,4.65338e-05
0.0290561,1.65866e-06,4.48453e-05
0.0290561,1.59847e-06,4.3218e-05
0.0290561,1.54047e-06,4.16498e-05
0.0290561,1.48457e-06,4.01385e-05
0.0290561,1.4307e-06,3.8682e-05
0.0290561,1.37879e-06,3.72784e-05
0.0290561,1.32876e-06,3.59257e-05
0.0290561,1.28054e-06,3.46221e-05
0.0290561,1.23407e-06,3.33657e-05
0.0290561,1.18929e-06,3.2155e-05
0.0290561,1.14614e-06,3.09882e-05
0.0290561,1.10455e-06,2.98638e-05
0.0290561,1.06447e-06,2.87801e-05
0.0290561,1.02584e-06,2.77358e-05
0.0290561,9.8862e-07,2.67294e-05
0.0290561,9.52746e-07,2.57595e-05
0.0290561,9.18175e-07,2.48248e-05
0.0290561,8.84857e-07,2.3924e-05
0.0290561,8.52749e-07,2.30558e-05
0.0290561,8.21806e-07,2.22192e-05
0.0290561,7.91986e-07,2.1413e-05
0.0290561,7.63247e-07,2.0636e-05
0.0290561,7.35552e-07,1.98872e-05
0.0290561,7.08861e-07,1.91655e-05
0.0290561,6.83139e-07,1.84701e-05
0.0290561,6.58351e-07,1.77999e-05
0.0290561,6.34462e-07,1.7154e-05
0.0290561,6.11439e-07,1.65315e-05
0.0290561,5.89252e-07,1.59317e-05
0.0290561,5.67871e-07,1.53536e-05
0.0290561,5.47265e-07,1.47964e-05
0.0290561,5.27406e-07,1.42595e-05
0.0290561,5.08269e-07,1.37421e-05
0.0290561,4.89826e-07,1.32435e-05
0.0290561,4.72052e-07,1.27629e-05
0.0290561,4.54923e-07,1.22998e-05
0.0290561,4.38415e-07,1.18535e-05
0.0290561,4.22507e-07,1.14233e-05
0.0290561,4.07175e-07,1.10088e-05
0.0290561,3.02946e-07,8.19078e-06
0.0290561,2.91953e-07,7.89357e-06
0.0290561,2.8136e-07,7.60714e-06
0.0290561,2.7115e-07,7.3311e-06
0.0290561,2.61311e-07,7.06508e-06
0.0290561,2.09337e-07,5.65986e-06
0.0290561,2.01741e-07,5.45448e-06
0.0292403,0.000766279,0.0207168
0.0292403,0.000738473,0.019965
0.0292403,0.000711677,0.0192406
0.0292403,0.000685853,0.0185424
0.0292403,0.000660966,0.0178696
0.0292403,0.000636982,0.0172211
0.0292403,0.000613868,0.0165963
0.0292403,0.000591593,0.015994
0.0292403,0.000570126,0.0154137
0.0292403,0.000549438,0.0148544
0.0292403,0.000529501,0.0143154
0.0292403,0.000510288,0.0137959
0.0292403,0.000491771,0.0132953
0.0292403,0.000473927,0.0128129
