m_phi_low,m_phi_high,m_H5,sin_theta_H,N_phi_GM
0.0297890532,0.0445593107,0.0341401394,0.1288633772,0.0013069604
0.0297890532,0.0445593107,0.0325004989,0.0151232987,0.0000179431
0.0297890532,0.0445593107,0.0330694840,0.3412765128,0.0091786874
0.0297890532,0.0445593107,0.0399395470,0.2762319364,0.0059747080
0.0297890532,0.0445593107,0.0436255198,0.0345342570,0.0000928337
0.0297890532,0.0445593107,0.0395814903,0.1215227787,0.0011563390
0.0297890532,0.0445593107,0.0437236628,0.1004541628,0.0007865678
0.0297890532,0.0445593107,0.0433682379,0.0140724569,0.0000153689
0.0297890532,0.0445593107,0.0306325772,0.3845242192,0.0116757580
0.0297890532,0.0445593107,0.0300885298,0.2155382591,0.0036694013
0.0297890532,0.0445593107,0.0358926596,0.3576464909,0.0100555278
0.0297890532,0.0445593107,0.0298547653,0.0186427140,0.0000273499
0.0297890532,0.0445593107,0.0368042853,0.1152690404,0.0010431658
0.0297890532,0.0445593107,0.0431574437,0.0506986999,0.0002003257
0.0297890532,0.0445593107,0.0315980363,0.3576641098,0.0100936694
0.0297890532,0.0445593107,0.0321727528,0.0253542306,0.0000505520
0.0297890532,0.0445593107,0.0332345313,0.0631446604,0.0003138613
0.0297890532,0.0445593107,0.0367102231,0.0082701580,0.0000053230
0.0297890532,0.0445593107,0.0429679984,0.3345751990,0.0087375110
0.0297890532,0.0445593107,0.0397882982,0.0330015009,0.0000851132
0.0297890532,0.0445593107,0.0428431330,0.0181387025,0.0000255802
0.0297890532,0.0445593107,0.0381536624,0.2148894349,0.0036218905
0.0297890532,0.0445593107,0.0359336004,0.2054514126,0.0033176134
0.0297890532,0.0445593107,0.0359888402,0.0226030863,0.0000400292
0.0297890532,0.0445593107,0.0378212259,0.3528403750,0.0097693508
0.0297890532,0.0445593107,0.0405217538,0.3260272323,0.0083183459
0.0297890532,0.0445593107,0.0301393176,0.3200875124,0.0080932050
0.0297890532,0.0445593107,0.0298892671,0.0264360866,0.0000550638
0.0297890532,0.0445593107,0.0328362378,0.0666287804,0.0003495922
0.0297890532,0.0445593107,0.0424372400,0.0113364283,0.0000099704
0.0297890532,0.0445593107,0.0423169406,0.0812180289,0.0005148685
0.0297890532,0.0445593107,0.0400715291,0.0303539721,0.0000719691
0.0297890532,0.0445593107,0.0301657017,0.4072296227,0.0131002334
0.0297890532,0.0445593107,0.0430038554,0.0980829522,0.0007504560
0.0297890532,0.0445593107,0.0321841411,0.0699080230,0.0003850791
0.0297890532,0.0445593107,0.0322916979,0.0223054127,0.0000391048
0.0297890532,0.0445593107,0.0310602023,0.1290921133,0.0013149574
0.0297890532,0.0445593107,0.0375095394,0.1136970254,0.0010142205
0.0297890532,0.0445593107,0.0305009849,0.3145546880,0.0078136213
0.0297890532,0.0445593107,0.0412571885,0.0075832436,0.0000044517
0.0297890532,0.0445593107,0.0410835978,0.0132403611,0.0000136337
0.0297890532,0.0445593107,0.0310990336,0.0280289592,0.0000618521
0.0297890532,0.0445593107,0.0427890357,0.1019386517,0.0008108324
0.0297890532,0.0445593107,0.0432935273,0.4594605193,0.0164730444
0.0297890532,0.0445593107,0.0388667561,0.0076952736,0.0000045960
0.0297890532,0.0445593107,0.0319548321,0.2061588142,0.0033520001
0.0297890532,0.0445593107,0.0390092565,0.2943232379,0.0067894172
0.0297890532,0.0445593107,0.0395695288,0.3363140155,0.0088602293
0.0297890532,0.0445593107,0.0307945539,0.0983138494,0.0007626923
0.0297890532,0.0445593107,0.0435132186,0.0193199262,0.0000290067
0.0297890532,0.0445593107,0.0354061732,0.0215724122,0.0000364751
0.0297890532,0.0445593107,0.0382648182,0.0216963632,0.0000367978
0.0297890532,0.0445593107,0.0425511205,0.0148100780,0.0000170421
0.0297890532,0.0445593107,0.0393462863,0.1566289134,0.0019216700
0.0297890532,0.0445593107,0.0299472472,0.0614258604,0.0002977807
0.0297890532,0.0445593107,0.0424359954,0.0596531478,0.0002776207
0.0297890532,0.0445593107,0.0414052850,0.1548461633,0.0018741862
0.0297890532,0.0445593107,0.0367255399,0.0252952103,0.0000501169
0.0297890532,0.0445593107,0.0310346065,0.0191323743,0.0000287825
0.0297890532,0.0445593107,0.0338596214,0.0728836587,0.0004179899
0.0297890532,0.0445593107,0.0381370188,0.1002935229,0.0007886379
0.0297890532,0.0445593107,0.0392219908,0.1193787529,0.0011162864
0.0297890532,0.0445593107,0.0376861051,0.0121412043,0.0000114967
0.0297890532,0.0445593107,0.0308803776,0.0621930386,0.0003050506
0.0297890532,0.0445593107,0.0419995858,0.3010177129,0.0070799214
0.0297890532,0.0445593107,0.0325841600,0.0834149978,0.0005481766
0.0297890532,0.0445593107,0.0429064803,0.0131224210,0.0000133652
0.0297890532,0.0445593107,0.0347562792,0.0658859891,0.0003412733
0.0297890532,0.0445593107,0.0312142226,0.4223431348,0.0140792565
0.0297890532,0.0445593107,0.0335822843,0.0121494946,0.0000115551
0.0297890532,0.0445593107,0.0337661374,0.0087715499,0.0000060069
0.0297890532,0.0445593107,0.0341449730,0.2689798763,0.0056961257
0.0297890532,0.0445593107,0.0401548465,0.0597797653,0.0002794714
0.0297890532,0.0445593107,0.0443080803,0.4457665904,0.0154880374
0.0297890532,0.0445593107,0.0363306553,0.1574944019,0.0019486268
0.0297890532,0.0445593107,0.0377372197,0.0176052100,0.0000242206
0.0297890532,0.0445593107,0.0430937849,0.0592643983,0.0002738152
0.0297890532,0.0445593107,0.0384018247,0.0779055239,0.0004756188
0.0297890532,0.0445593107,0.0315836817,0.0265655702,0.0000555321
0.0297890532,0.0445593107,0.0353527406,0.3351307259,0.0088334632
0.0297890532,0.0445593107,0.0309149962,0.0927638034,0.0006789147
0.0297890532,0.0445593107,0.0348099354,0.0176674421,0.0000244582
0.0297890532,0.0445593107,0.0415702833,0.0475468932,0.0001764767
0.0297890532,0.0445593107,0.0343552576,0.0591672368,0.0002752788
0.0297890532,0.0445593107,0.0422346949,0.1440833999,0.0016212094
0.0297890532,0.0445593107,0.0319239319,0.1092132853,0.0009404049
0.0297890532,0.0445593107,0.0374797020,0.0463712234,0.0001685425
0.0297890532,0.0445593107,0.0313320589,0.0604739909,0.0002883069
0.0297890532,0.0445593107,0.0436106497,0.3722463795,0.0108084661
0.0297890532,0.0445593107,0.0442223981,0.0184409517,0.0000264014
0.0297890532,0.0445593107,0.0422325051,0.0428336906,0.0001430963
0.0297890532,0.0445593107,0.0443045469,0.0140967694,0.0000154061
0.0297890532,0.0445593107,0.0400684209,0.2344464406,0.0043030535
0.0297890532,0.0445593107,0.0379854725,0.1460715937,0.0016735284
0.0297890532,0.0445593107,0.0374874531,0.0510667895,0.0002044343
0.0297890532,0.0445593107,0.0330738201,0.0402385627,0.0001273795
0.0297890532,0.0445593107,0.0348296954,0.0553156483,0.0002404833
0.0297890532,0.0445593107,0.0434835145,0.0116570573,0.0000105323
0.0297890532,0.0445593107,0.0315291396,0.1829034732,0.0026391989
0.0297890532,0.0445593107,0.0361194654,0.4312083519,0.0146150523
0.0297890532,0.0445593107,0.0358732507,0.2813624155,0.0062231334
0.0297890532,0.0445593107,0.0324065802,0.0577100755,0.0002623109
0.0297890532,0.0445593107,0.0383954802,0.0269156522,0.0000566640
0.0297890532,0.0445593107,0.0339788880,0.0351557931,0.0000971294
0.0297890532,0.0445593107,0.0421723106,0.0353381186,0.0000973654
0.0297890532,0.0445593107,0.0311180273,0.0165864739,0.0000216170
0.0297890532,0.0445593107,0.0398512925,0.2253473345,0.0039763490
0.0297890532,0.0445593107,0.0372033539,0.0881383559,0.0006095424
0.0297890532,0.0445593107,0.0367596057,0.1287785447,0.0013021592
0.0297890532,0.0445593107,0.0363282289,0.0073097787,0.0000041547
0.0297890532,0.0445593107,0.0302928209,0.3079456753,0.0074898928
0.0297890532,0.0445593107,0.0401694785,0.0316686197,0.0000783387
0.0297890532,0.0445593107,0.0350283989,0.0651608744,0.0003337178
0.0297890532,0.0445593107,0.0369270271,0.1341677278,0.0014132389
0.0297890532,0.0445593107,0.0364887643,0.0269360830,0.0000568531
0.0297890532,0.0445593107,0.0414633826,0.0177043955,0.0000244034
0.0297890532,0.0445593107,0.0415909683,0.1112364788,0.0009667974
0.0297890532,0.0445593107,0.0363876845,0.1360034518,0.0014529187
0.0297890532,0.0445593107,0.0388924522,0.0208839594,0.0000340679
0.0297890532,0.0445593107,0.0399507029,0.0091258818,0.0000064671
0.0297890532,0.0445593107,0.0338380312,0.0143300416,0.0000160874
0.0297890532,0.0445593107,0.0441265619,0.0276387583,0.0000593957
0.0297890532,0.0445593107,0.0425788510,0.1634741464,0.0020862933
0.0297890532,0.0445593107,0.0430613859,0.0132822281,0.0000136914
0.0297890532,0.0445593107,0.0412795191,0.2347828246,0.0043099937
0.0297890532,0.0445593107,0.0430770035,0.0219173914,0.0000373664
0.0297890532,0.0445593107,0.0362076458,0.1381226481,0.0014988125
0.0297890532,0.0445593107,0.0352750017,0.0461626118,0.0001673690
0.0297890532,0.0445593107,0.0337757523,0.0899713682,0.0006371393
0.0297890532,0.0445593107,0.0317860498,0.0183960498,0.0000265895
0.0297890532,0.0445593107,0.0416898901,0.2813547680,0.0061871168
0.0297890532,0.0445593107,0.0310093791,0.0148853313,0.0000174022
0.0297890532,0.0445593107,0.0356075257,0.3930183771,0.0121463357
0.0297890532,0.0445593107,0.0362804664,0.0240776468,0.0000454199
0.0297890532,0.0445593107,0.0407196694,0.0178953936,0.0000249533
0.0297890532,0.0445593107,0.0306005968,0.0893251441,0.0006296482
0.0297890532,0.0445593107,0.0444807883,0.0084611661,0.0000055287
0.0297890532,0.0445593107,0.0410257213,0.1010980808,0.0007990151
0.0297890532,0.0445593107,0.0306246326,0.0669379767,0.0003534754
0.0297890532,0.0445593107,0.0441464919,0.0082383065,0.0000052420
0.0297890532,0.0445593107,0.0360256523,0.2555803116,0.0051340321
0.0297890532,0.0445593107,0.0345675741,0.1397188423,0.0015359309
0.0297890532,0.0445593107,0.0408808983,0.0538114399,0.0002262506
0.0297890532,0.0445593107,0.0353550104,0.0302634813,0.0000718641
0.0297890532,0.0445593107,0.0344177927,0.0667671954,0.0003505730
0.0297890532,0.0445593107,0.0379210680,0.2349174936,0.0043295964
0.0297890532,0.0445593107,0.0349879010,0.2866545325,0.0064646302
0.0297890532,0.0445593107,0.0390671518,0.3855441978,0.0116502876
0.0297890532,0.0445593107,0.0300168164,0.4656900515,0.0171339530
0.0297890532,0.0445593107,0.0360693146,0.0495641187,0.0001928266
0.0297890532,0.0445593107,0.0393347450,0.1068491746,0.0008940909
