m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.1335,8.84908e-12,1.40332e-13,6.77109e-09,0.446417,0.0835855,0.693353,4.18879e+18,2.73082e+06,1.28415e+53
0.0519408,4.67351e-11,4.52305e-12,1.55608e-08,0.446417,0.510105,0.587367,4.18879e+18,1.87943e+06,3.50627e+54
0.00160279,8.66712e-10,1.64e-10,6.70111e-08,0.446417,0.997336,0.000468379,4.18879e+18,130442,1.01378e+53
0.00313446,1.42614e-10,2.68452e-11,2.71826e-08,0.446417,0.992146,0.283032,4.18879e+18,792270,1.00278e+55
0.00940515,2.4854e-12,4.48781e-13,3.58845e-09,0.446417,0.951721,0.978101,4.18879e+18,4.51632e+07,5.79325e+53
0.0532504,1.13718e-12,1.07404e-13,2.42731e-09,0.446417,0.497808,0.986967,4.18879e+18,7.6229e+07,1.39903e+53
0.00270181,9.35187e-13,1.76346e-13,2.2012e-09,0.446417,0.993893,0.991759,4.18879e+18,1.20844e+08,2.30822e+53
0.0586531,2.80075e-10,2.38666e-11,3.80932e-08,0.446417,0.449145,0.0326265,4.18879e+18,292192,1.0277e+54
0.00714582,5.18414e-10,9.53006e-11,5.1826e-08,0.446417,0.968926,0.0100126,4.18879e+18,217207,1.25935e+54
0.0424952,5.3479e-12,6.1298e-13,5.26382e-09,0.446417,0.604136,0.945634,4.18879e+18,1.78899e+07,7.65021e+53
0.00692567,3.72395e-12,6.85668e-13,4.3925e-09,0.446417,0.970467,0.967478,4.18879e+18,3.02454e+07,8.75504e+53
0.0254979,7.85056e-12,1.17589e-12,6.37764e-09,0.446417,0.789471,0.929091,4.18879e+18,1.35967e+07,1.44188e+54
0.116102,5.34144e-12,1.29388e-13,5.26064e-09,0.446417,0.127676,0.854569,4.18879e+18,6.36354e+06,1.45931e+53
0.00172981,1.32797e-12,2.51201e-13,2.62303e-09,0.446417,0.997022,0.988322,4.18879e+18,8.51315e+07,3.2766e+53
0.00334468,8.34351e-12,1.56911e-12,6.57482e-09,0.446417,0.991232,0.928809,4.18879e+18,1.35406e+07,1.92346e+54
0.0040811,7.70194e-13,1.44332e-13,1.99761e-09,0.446417,0.987719,0.993203,4.18879e+18,1.46619e+08,1.89193e+53
0.0166792,7.06661e-11,1.18534e-11,1.91344e-08,0.446417,0.884106,0.527273,4.18879e+18,1.56242e+06,8.24866e+54
0.00379027,1.06058e-12,1.99039e-13,2.34412e-09,0.446417,0.989161,0.990654,4.18879e+18,1.06496e+08,2.60233e+53
0.0156394,5.30414e-10,9.00267e-11,5.24224e-08,0.446417,0.894597,0.00831416,4.18879e+18,208779,9.87855e+53
0.0274499,7.88683e-12,1.14894e-12,6.39235e-09,0.446417,0.76783,0.928114,4.18879e+18,1.34049e+07,1.40735e+54
0.0265716,5.31113e-11,7.83537e-12,1.65883e-08,0.446417,0.777578,0.606431,4.18879e+18,1.99938e+06,6.27111e+54
0.00575277,9.47329e-13,1.75818e-13,2.21544e-09,0.446417,0.978214,0.991635,4.18879e+18,1.19042e+08,2.30101e+53
0.00243818,5.43547e-10,1.02595e-10,5.30674e-08,0.446417,0.994858,0.00815517,4.18879e+18,207939,1.10424e+54
0.00105488,1.49978e-12,2.84097e-13,2.78755e-09,0.446417,0.998416,0.986823,4.18879e+18,7.53906e+07,3.70007e+53
0.0726216,4.68899e-12,3.01774e-13,4.92889e-09,0.446417,0.339213,0.934227,4.18879e+18,1.46992e+07,3.72081e+53
0.00425039,8.57859e-13,1.60618e-13,2.10823e-09,0.446417,0.986849,0.992431,4.18879e+18,1.31621e+08,2.10378e+53
0.0263064,2.85506e-12,4.22793e-13,3.84607e-09,0.446417,0.780518,0.973505,4.18879e+18,3.72419e+07,5.43212e+53
0.042221,1.80214e-12,2.0754e-13,3.05565e-09,0.446417,0.606995,0.98138,4.18879e+18,5.3207e+07,2.68809e+53
0.0224493,2.56085e-12,3.99853e-13,3.64252e-09,0.446417,0.822978,0.976607,4.18879e+18,4.22461e+07,5.15376e+53
0.0171848,1.43441e-11,2.39199e-12,8.62078e-09,0.446417,0.878933,0.877994,4.18879e+18,7.68555e+06,2.77175e+54
0.00159642,7.87794e-10,1.4907e-10,6.38875e-08,0.446417,0.997351,0.000941365,4.18879e+18,143510,1.85204e+53
