m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00278914,7.24326e-13,1.36538e-13,1.93721e-09,0.446417,0.993556,0.993652,4.18879e+18,1.5703e+08,1.79058e+53
0.0798691,5.57054e-11,3.07646e-12,1.69886e-08,0.446417,0.291089,0.770797,4.18879e+18,3.84234e+06,3.12965e+54
0.012117,2.58675e-10,4.55592e-11,3.66089e-08,0.446417,0.928309,0.116483,4.18879e+18,465117,7.00395e+54
0.0149796,3.10733e-11,5.31261e-12,1.26883e-08,0.446417,0.901141,0.776925,4.18879e+18,3.96182e+06,5.44742e+54
0.0260251,5.44342e-10,8.09309e-11,5.31062e-08,0.446417,0.783635,0.0181987,4.18879e+18,249606,1.94383e+54
0.00743714,1.07431e-10,1.97069e-11,2.35926e-08,0.446417,0.966846,0.397416,4.18879e+18,1.08369e+06,1.03363e+55
0.0699865,4.14113e-10,2.81428e-11,4.632e-08,0.446417,0.358196,0.125057,4.18879e+18,481104,4.64493e+54
0.0374787,4.59934e-10,5.73637e-11,4.88154e-08,0.446417,0.657375,0.0477655,4.18879e+18,328808,3.61623e+54
0.197939,1.65651e-10,4.91397e-13,2.92959e-08,0.446417,0.0156354,0.614033,4.18879e+18,2.05436e+06,3.98224e+53
0.0103538,8.30147e-13,1.48655e-13,2.0739e-09,0.446417,0.943834,0.993033,4.18879e+18,1.43033e+08,1.94826e+53
0.00461817,1.60651e-11,3.0019e-12,9.12328e-09,0.446417,0.984883,0.869214,4.18879e+18,7.13439e+06,3.44371e+54
0.069054,1.04121e-11,7.21256e-13,7.34479e-09,0.446417,0.365107,0.948719,4.18879e+18,1.89999e+07,9.03089e+53
0.00559118,5.59114e-11,1.03874e-11,1.702e-08,0.446417,0.979216,0.615442,4.18879e+18,2.0601e+06,8.43721e+54
0.0227768,3.77934e-12,5.87548e-13,4.42504e-09,0.446417,0.819404,0.971743,4.18879e+18,3.48874e+07,7.53526e+53
0.00192847,1.59569e-12,3.01681e-13,2.8753e-09,0.446417,0.996484,0.986033,4.18879e+18,7.10941e+07,3.92593e+53
0.0108825,1.54667e-12,2.75631e-13,2.8308e-09,0.446417,0.939291,0.987108,4.18879e+18,7.70675e+07,3.59084e+53
0.00299409,8.40436e-10,1.58295e-10,6.59875e-08,0.446417,0.992734,0.000621321,4.18879e+18,135434,1.29803e+53
0.0193586,2.60935e-10,4.2389e-11,3.67685e-08,0.446417,0.856233,0.129883,4.18879e+18,489934,7.26623e+54
