m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00611481,6.24764e-11,1.15679e-11,1.79915e-08,0.446417,0.97591,0.582245,4.18879e+18,1.84893e+06,8.88923e+54
0.164241,1.55797e-09,1.13076e-11,8.98439e-08,0.446417,0.0382544,0.00795417,4.18879e+18,207213,1.18705e+53
0.0670362,5.22477e-11,3.77094e-12,1.64529e-08,0.446417,0.380411,0.764666,4.18879e+18,3.72831e+06,3.80562e+54
0.00164495,6.08343e-11,1.151e-11,1.77535e-08,0.446417,0.997234,0.584727,4.18879e+18,1.86355e+06,8.88241e+54
0.00741459,1.95548e-12,3.58767e-13,3.183e-09,0.446417,0.967009,0.983341,4.18879e+18,5.95284e+07,4.65608e+53
0.00452189,8.23954e-13,1.54045e-13,2.06615e-09,0.446417,0.985407,0.992833,4.18879e+18,1.39039e+08,2.01849e+53
0.00392686,4.42747e-11,8.30344e-12,1.51456e-08,0.446417,0.988492,0.678735,4.18879e+18,2.58051e+06,7.4381e+54
0.0285482,1.08647e-12,1.55759e-13,2.37257e-09,0.446417,0.755628,0.99222,4.18879e+18,1.28041e+08,2.0397e+53
0.0106796,7.1964e-10,1.28486e-10,6.10615e-08,0.446417,0.941046,0.00236599,4.18879e+18,165389,4.01209e+53
0.00199572,4.21629e-11,7.96975e-12,1.478e-08,0.446417,0.996289,0.68963,4.18879e+18,2.69108e+06,7.25378e+54
0.0115615,4.54559e-10,8.04908e-11,4.85294e-08,0.446417,0.933313,0.0224986,4.18879e+18,263563,2.39004e+54
0.0192993,1.03312e-11,1.67954e-12,7.31619e-09,0.446417,0.856861,0.922322,4.18879e+18,1.23677e+07,2.04445e+54
0.0153146,4.79122e-13,8.16148e-14,1.57555e-09,0.446417,0.89783,0.996126,4.18879e+18,2.57659e+08,1.07297e+53
0.119268,4.11983e-11,9.24998e-13,1.461e-08,0.446417,0.11834,0.858617,4.18879e+18,6.5665e+06,1.0482e+54
0.00657464,1.93269e-11,3.56735e-12,1.00067e-08,0.446417,0.97287,0.846305,4.18879e+18,5.99264e+06,3.98453e+54
0.0126102,3.43727e-10,6.02442e-11,4.22004e-08,0.446417,0.923787,0.0580693,4.18879e+18,351370,4.61706e+54
0.120581,4.11747e-10,8.95667e-12,4.61875e-08,0.446417,0.114653,0.220119,4.18879e+18,661321,2.60201e+54
0.0463053,1.34326e-10,1.44025e-11,2.63809e-08,0.446417,0.565132,0.44053,4.18879e+18,1.2201e+06,8.3737e+54
0.00959322,7.82137e-11,1.41e-11,2.01303e-08,0.446417,0.950186,0.515663,4.18879e+18,1.50993e+06,9.596e+54
0.0178791,7.87178e-12,1.30196e-12,6.38625e-09,0.446417,0.87176,0.93952,4.18879e+18,1.60301e+07,1.61439e+54
0.0152584,2.94741e-12,5.02381e-13,3.90778e-09,0.446417,0.898388,0.976395,4.18879e+18,4.18646e+07,6.47385e+53
0.0052318,3.18521e-12,5.9307e-13,4.06236e-09,0.446417,0.981384,0.972674,4.18879e+18,3.60936e+07,7.61337e+53
0.0118145,5.49503e-10,9.70665e-11,5.33574e-08,0.446417,0.931046,0.0102753,4.18879e+18,218444,1.31634e+54
0.0221738,1.5729e-12,2.46489e-13,2.8547e-09,0.446417,0.825978,0.988075,4.18879e+18,8.33661e+07,3.21434e+53
0.0431193,1.86441e-10,2.11409e-11,3.108e-08,0.446417,0.597657,0.310097,4.18879e+18,854227,8.65215e+54
0.010854,1.04035e-10,1.85448e-11,2.32166e-08,0.446417,0.939539,0.417695,4.18879e+18,1.14551e+06,1.02232e+55
0.00337428,4.74473e-12,8.9219e-13,4.9581e-09,0.446417,0.991099,0.95923,4.18879e+18,2.40243e+07,1.12949e+54
0.0445354,3.13295e-10,3.46587e-11,4.0289e-08,0.446417,0.583082,0.143339,4.18879e+18,514892,6.55665e+54
0.00409476,1.71603e-10,3.21557e-11,2.98176e-08,0.446417,0.98765,0.222934,4.18879e+18,666283,9.46099e+54
0.0656298,1.67406e-11,1.24302e-12,9.31313e-09,0.446417,0.391362,0.916756,4.18879e+18,1.15097e+07,1.50396e+54
0.00215774,6.45348e-10,1.21925e-10,5.78238e-08,0.446417,0.995794,0.00339579,4.18879e+18,175896,5.46432e+53
0.0647616,1.80107e-12,1.36083e-13,3.05474e-09,0.446417,0.398239,0.99063,4.18879e+18,1.06256e+08,1.77917e+53
