m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.0239454,1.04598e-12,1.6007e-13,2.32794e-09,0.446417,0.806596,0.991992,4.18879e+18,2.40532e+11,1.24389e+08,2.09567e+53
0.00814574,3.2688e-11,5.96369e-12,1.30138e-08,0.446417,0.961609,0.777834,4.18879e+18,4.3027e+10,3.98035e+06,6.12218e+54
0.0319143,7.4956e-11,1.02148e-11,1.97066e-08,0.446417,0.71828,0.56205,4.18879e+18,2.8414e+10,1.73581e+06,7.57718e+54
0.00822278,4.8157e-11,8.78057e-12,1.57957e-08,0.446417,0.961025,0.690639,4.18879e+18,3.54491e+10,2.70177e+06,8.00346e+54
0.0103531,1.73322e-11,3.10371e-12,9.47624e-09,0.446417,0.943841,0.875275,4.18879e+18,5.90892e+10,7.50681e+06,3.58533e+54
0.0363513,4.79104e-12,6.08646e-13,4.98224e-09,0.446417,0.669586,0.963842,4.18879e+18,1.12388e+11,2.71568e+07,7.74238e+53
0.00116872,5.60312e-10,1.06118e-10,5.38796e-08,0.446417,0.998228,0.013481,4.18879e+18,1.03925e+10,232209,1.88805e+54
0.0164196,2.58807e-11,4.35415e-12,1.15797e-08,0.446417,0.886745,0.81961,4.18879e+18,4.83557e+10,5.02728e+06,4.70993e+54
0.00109735,8.30944e-10,1.57392e-10,6.56138e-08,0.446417,0.998348,0.00168413,4.18879e+18,8.53393e+09,156580,3.49834e+53
0.00930913,9.6464e-12,1.74325e-12,7.06956e-09,0.446417,0.9525,0.928539,4.18879e+18,7.9205e+10,1.34879e+07,2.1363e+54
0.0246078,9.27627e-13,1.40674e-13,2.19228e-09,0.446417,0.799302,0.992895,4.18879e+18,2.55416e+11,1.4026e+08,1.8434e+53
0.0614612,1.36966e-10,1.10492e-11,2.66389e-08,0.446417,0.425196,0.348913,4.18879e+18,2.10198e+10,949939,5.08805e+54
0.00417703,5.58396e-13,1.0459e-13,1.70091e-09,0.446417,0.987229,0.995717,4.18879e+18,3.29203e+11,2.33006e+08,1.37445e+53
0.00349551,1.39704e-12,2.62551e-13,2.69038e-09,0.446417,0.99055,0.98932,4.18879e+18,2.08128e+11,9.31322e+07,3.42811e+53
0.011857,5.49621e-11,9.70476e-12,1.68749e-08,0.446417,0.930663,0.655441,4.18879e+18,3.31821e+10,2.36726e+06,8.39502e+54
0.0110673,4.06858e-11,7.23812e-12,1.45188e-08,0.446417,0.93768,0.731457,4.18879e+18,3.85668e+10,3.19791e+06,6.98745e+54
0.00475976,5.65737e-12,1.05629e-12,5.41398e-09,0.446417,0.984099,0.957449,4.18879e+18,1.03426e+11,2.29982e+07,1.33476e+54
0.0123247,2.83212e-11,4.97789e-12,1.21134e-08,0.446417,0.926414,0.804381,4.18879e+18,4.62252e+10,4.59406e+06,5.28459e+54
