m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.0476927,1.52284e-07,1.59277e-08,8.88252e-07,0.446417,0.551278,0.608526,4.18879e+18,2.02e+06,1.27919e+58
0.0298892,1.22599e-09,1.72296e-10,7.9699e-08,0.446417,0.74073,0.608526,4.18879e+18,2.02e+06,1.38375e+56
0.0815134,9.10053e-07,4.85146e-08,2.17142e-06,0.446417,0.280981,0.608526,4.18879e+18,2.02e+06,3.89632e+58
0.0105151,4.15399e-12,7.42773e-13,4.63919e-09,0.446417,0.942459,0.608526,4.18879e+18,2.02e+06,5.96539e+53
0.00234205,6.14693e-10,1.16063e-10,5.64337e-08,0.446417,0.99519,0.608526,4.18879e+18,2.02e+06,9.32128e+55
0.201353,2.16937e-09,5.86705e-12,1.06017e-07,0.446417,0.0142547,0.608526,4.18879e+18,2.02e+06,4.71197e+54
0.0201592,4.3453e-10,6.9887e-11,4.74481e-08,0.446417,0.847712,0.608526,4.18879e+18,2.02e+06,5.6128e+55
0.0161314,1.97878e-08,3.34002e-09,3.2019e-07,0.446417,0.88966,0.608526,4.18879e+18,2.02e+06,2.68245e+57
0.00158264,7.1187e-08,1.34707e-08,6.07309e-07,0.446417,0.997384,0.608526,4.18879e+18,2.02e+06,1.08187e+58
0.090624,5.96771e-11,2.6054e-12,1.75838e-08,0.446417,0.230111,0.608526,4.18879e+18,2.02e+06,2.09246e+54
0.0298649,6.72449e-10,9.4538e-11,5.90254e-08,0.446417,0.741001,0.608526,4.18879e+18,2.02e+06,7.59257e+55
0.0438357,1.18021e-08,1.3217e-09,2.4728e-07,0.446417,0.590261,0.608526,4.18879e+18,2.02e+06,1.06149e+57
0.00173938,1.62758e-07,3.07868e-08,9.18291e-07,0.446417,0.996997,0.608526,4.18879e+18,2.02e+06,2.47256e+58
0.0221549,5.62848e-09,8.82259e-10,1.70767e-07,0.446417,0.826183,0.608526,4.18879e+18,2.02e+06,7.08564e+56
0.0953978,4.15213e-07,1.62859e-08,1.46671e-06,0.446417,0.206734,0.608526,4.18879e+18,2.02e+06,1.30796e+58
0.018184,1.04771e-11,1.72657e-12,7.36767e-09,0.446417,0.868586,0.608526,4.18879e+18,2.02e+06,1.38665e+54
0.00923571,5.23809e-08,9.47188e-09,5.2095e-07,0.446417,0.953092,0.608526,4.18879e+18,2.02e+06,7.6071e+57
0.185305,1.30312e-08,5.42794e-11,2.59838e-07,0.446417,0.0219543,0.608526,4.18879e+18,2.02e+06,4.35931e+55
0.00181279,2.57284e-09,4.86576e-10,1.15456e-07,0.446417,0.996804,0.608526,4.18879e+18,2.02e+06,3.90781e+56
0.149174,3.89892e-07,4.17045e-09,1.42129e-06,0.446417,0.056378,0.608526,4.18879e+18,2.02e+06,3.34939e+57
0.00120955,3.8173e-07,7.22909e-08,1.40633e-06,0.446417,0.998156,0.608526,4.18879e+18,2.02e+06,5.80585e+58
0.0928711,3.39507e-08,1.40962e-09,4.19405e-07,0.446417,0.218839,0.608526,4.18879e+18,2.02e+06,1.1321e+57
0.024397,3.29551e-09,5.01214e-10,1.30668e-07,0.446417,0.801626,0.608526,4.18879e+18,2.02e+06,4.02537e+56
0.0312681,9.89325e-09,1.36165e-09,2.26401e-07,0.446417,0.725434,0.608526,4.18879e+18,2.02e+06,1.09357e+57
0.00154203,7.58451e-11,1.43536e-11,1.98232e-08,0.446417,0.997478,0.608526,4.18879e+18,2.02e+06,1.15277e+55
0.00233367,1.4841e-11,2.80228e-12,8.76882e-09,0.446417,0.995218,0.608526,4.18879e+18,2.02e+06,2.25057e+54
0.0129033,9.64285e-11,1.6851e-11,2.23518e-08,0.446417,0.921066,0.608526,4.18879e+18,2.02e+06,1.35334e+55
0.0726614,3.5475e-07,2.28121e-08,1.35572e-06,0.446417,0.338933,0.608526,4.18879e+18,2.02e+06,1.83209e+58
0.0131905,1.79958e-09,3.1356e-10,9.65596e-08,0.446417,0.918375,0.608526,4.18879e+18,2.02e+06,2.51828e+56
0.00607918,4.16416e-10,7.71203e-11,4.64487e-08,0.446417,0.97614,0.608526,4.18879e+18,2.02e+06,6.19372e+55
0.0640432,1.15919e-07,8.88509e-09,7.74974e-07,0.446417,0.403997,0.608526,4.18879e+18,2.02e+06,7.13583e+57
0.00244106,6.37544e-12,1.20336e-12,5.74731e-09,0.446417,0.994848,0.608526,4.18879e+18,2.02e+06,9.66447e+53
0.0889156,6.46774e-11,2.93288e-12,1.83057e-08,0.446417,0.239009,0.608526,4.18879e+18,2.02e+06,2.35547e+54
0.0590618,1.18345e-10,1.00052e-11,2.4762e-08,0.446417,0.445602,0.608526,4.18879e+18,2.02e+06,8.03544e+54
0.00343172,4.45345e-11,8.37201e-12,1.519e-08,0.446417,0.990841,0.608526,4.18879e+18,2.02e+06,6.72376e+54
0.00845319,6.5918e-12,1.19969e-12,5.84402e-09,0.446417,0.959261,0.608526,4.18879e+18,2.02e+06,9.63501e+53
0.0599786,2.44247e-08,2.02842e-09,3.55733e-07,0.446417,0.437724,0.608526,4.18879e+18,2.02e+06,1.62907e+57
0.00606979,1.40515e-07,2.6025e-08,8.53239e-07,0.446417,0.976201,0.608526,4.18879e+18,2.02e+06,2.09013e+58
0.0836994,5.05449e-10,2.56997e-11,5.11738e-08,0.446417,0.267992,0.608526,4.18879e+18,2.02e+06,2.06401e+55
0.0316262,2.62583e-09,3.59429e-10,1.16639e-07,0.446417,0.721469,0.608526,4.18879e+18,2.02e+06,2.88666e+56
0.0327054,1.71876e-12,2.31376e-13,2.98412e-09,0.446417,0.709538,0.608526,4.18879e+18,2.02e+06,1.85824e+53
0.035262,3.48493e-08,4.50568e-09,4.2492e-07,0.446417,0.681455,0.608526,4.18879e+18,2.02e+06,3.61862e+57
0.0643725,9.10811e-07,6.93554e-08,2.17232e-06,0.446417,0.40135,0.608526,4.18879e+18,2.02e+06,5.5701e+58
0.00640179,4.41236e-11,8.15399e-12,1.51198e-08,0.446417,0.974027,0.608526,4.18879e+18,2.02e+06,6.54867e+54
0.00969704,1.37392e-11,2.47461e-12,8.43703e-09,0.446417,0.949333,0.608526,4.18879e+18,2.02e+06,1.98742e+54
0.00401355,2.06146e-08,3.86444e-09,3.26811e-07,0.446417,0.98806,0.608526,4.18879e+18,2.02e+06,3.10362e+57
0.00129123,1.76124e-09,3.33488e-10,9.55254e-08,0.446417,0.998005,0.608526,4.18879e+18,2.02e+06,2.67832e+56
0.372763,9.03927e-08,1.79936e-12,6.84347e-07,0.446417,0.000104919,0.608526,4.18879e+18,2.02e+06,1.44511e+54
0.0111468,1.76957e-12,3.14578e-13,3.02791e-09,0.446417,0.936983,0.608526,4.18879e+18,2.02e+06,2.52645e+53
0.362206,8.07759e-08,2.19961e-12,6.4692e-07,0.446417,0.000143528,0.608526,4.18879e+18,2.02e+06,1.76656e+54
0.0196161,1.55226e-12,2.51361e-13,2.83591e-09,0.446417,0.853501,0.608526,4.18879e+18,2.02e+06,2.01874e+53
0.104091,7.51186e-08,2.41448e-09,6.23854e-07,0.446417,0.169413,0.608526,4.18879e+18,2.02e+06,1.93912e+57
0.00560279,4.32024e-09,8.02572e-10,1.49611e-07,0.446417,0.979145,0.608526,4.18879e+18,2.02e+06,6.44565e+56
0.0131709,1.08102e-08,1.88396e-09,2.36661e-07,0.446417,0.91856,0.608526,4.18879e+18,2.02e+06,1.51306e+57
0.0152837,2.23978e-10,3.81659e-11,3.40653e-08,0.446417,0.898136,0.608526,4.18879e+18,2.02e+06,3.0652e+55
0.0230497,7.45889e-12,1.15536e-12,6.21651e-09,0.446417,0.816421,0.608526,4.18879e+18,2.02e+06,9.27897e+53
0.0210462,1.21088e-12,1.92563e-13,2.50473e-09,0.446417,0.83819,0.608526,4.18879e+18,2.02e+06,1.54652e+53
0.00464415,7.76464e-10,1.45068e-10,6.34264e-08,0.446417,0.98474,0.608526,4.18879e+18,2.02e+06,1.16508e+56
0.00916915,1.2637e-08,2.2864e-09,2.55878e-07,0.446417,0.953627,0.608526,4.18879e+18,2.02e+06,1.83627e+57
0.0257853,3.35135e-11,4.99955e-12,1.31771e-08,0.446417,0.78629,0.608526,4.18879e+18,2.02e+06,4.01526e+54
0.00176202,8.40059e-08,1.58894e-08,6.59727e-07,0.446417,0.996938,0.608526,4.18879e+18,2.02e+06,1.27611e+58
0.14361,6.76132e-10,8.32732e-12,5.91869e-08,0.446417,0.064915,0.608526,4.18879e+18,2.02e+06,6.68787e+54
0.0251969,5.99017e-11,9.01013e-12,1.76169e-08,0.446417,0.792799,0.608526,4.18879e+18,2.02e+06,7.23625e+54
0.00177956,4.03832e-08,7.63796e-09,4.57414e-07,0.446417,0.996892,0.608526,4.18879e+18,2.02e+06,6.13423e+57
0.0123807,9.98808e-09,1.75459e-09,2.27484e-07,0.446417,0.925901,0.608526,4.18879e+18,2.02e+06,1.40915e+57
0.0089285,1.14437e-10,2.07466e-11,2.43497e-08,0.446417,0.955546,0.608526,4.18879e+18,2.02e+06,1.66621e+55
0.0833481,1.1178e-07,5.72706e-09,7.61014e-07,0.446417,0.270045,0.608526,4.18879e+18,2.02e+06,4.59954e+57
0.0023593,7.03376e-11,1.328e-11,1.90899e-08,0.446417,0.995131,0.608526,4.18879e+18,2.02e+06,1.06654e+55
0.0091489,3.85483e-09,6.97568e-10,1.41323e-07,0.446417,0.953789,0.608526,4.18879e+18,2.02e+06,5.60233e+56
0.0921634,8.95094e-08,3.7758e-09,6.80995e-07,0.446417,0.222337,0.608526,4.18879e+18,2.02e+06,3.03244e+57
0.00219008,1.62527e-08,3.07029e-09,2.90183e-07,0.446417,0.995691,0.608526,4.18879e+18,2.02e+06,2.46583e+57
0.00912612,1.64462e-08,2.97666e-09,2.91905e-07,0.446417,0.953972,0.608526,4.18879e+18,2.02e+06,2.39063e+57
0.00944384,3.76491e-08,6.79594e-09,4.41659e-07,0.446417,0.951407,0.608526,4.18879e+18,2.02e+06,5.45799e+57
0.0386344,1.12526e-08,1.3769e-09,2.41455e-07,0.446417,0.644943,0.608526,4.18879e+18,2.02e+06,1.10582e+57
0.00516271,3.41099e-09,6.35373e-10,1.32938e-07,0.446417,0.981791,0.608526,4.18879e+18,2.02e+06,5.10283e+56
0.0813502,2.5423e-07,1.36007e-08,1.14769e-06,0.446417,0.281971,0.608526,4.18879e+18,2.02e+06,1.0923e+58
0.00127053,7.38988e-08,1.39932e-08,6.18768e-07,0.446417,0.998044,0.608526,4.18879e+18,2.02e+06,1.12382e+58
0.00859199,1.70207e-09,3.09426e-10,9.39071e-08,0.446417,0.958187,0.608526,4.18879e+18,2.02e+06,2.48507e+56
0.140903,8.30867e-09,1.09545e-10,2.0748e-07,0.446417,0.0694918,0.608526,4.18879e+18,2.02e+06,8.79785e+55
0.00349575,1.92828e-12,3.62389e-13,3.16078e-09,0.446417,0.990549,0.608526,4.18879e+18,2.02e+06,2.91043e+53
0.00647455,1.09062e-11,2.01446e-12,7.51704e-09,0.446417,0.973542,0.608526,4.18879e+18,2.02e+06,1.61786e+54
0.111373,8.25275e-12,2.23684e-13,6.53896e-09,0.446417,0.142859,0.608526,4.18879e+18,2.02e+06,1.79646e+53
