m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.0130028,8.22196e-12,1.43534e-12,6.52675e-09,0.446417,0.920136,0.928895,4.18879e+18,1.3558e+07,1.75965e+54
0.0346943,3.26321e-10,4.25746e-11,4.1118e-08,0.446417,0.687665,0.0399328,4.18879e+18,310535,2.2438e+54
0.00122764,1.24091e-11,2.34991e-12,8.01824e-09,0.446417,0.998123,0.896057,4.18879e+18,9.11153e+06,2.77902e+54
0.00130595,4.1122e-13,7.78615e-14,1.45964e-09,0.446417,0.997976,0.99637,4.18879e+18,2.74947e+08,1.02388e+53
0.0161847,1.86973e-12,3.15406e-13,3.11243e-09,0.446417,0.889122,0.983231,4.18879e+18,5.91365e+07,4.09288e+53
0.00245764,1.98956e-12,3.75506e-13,3.21061e-09,0.446417,0.99479,0.982551,4.18879e+18,5.68085e+07,4.8694e+53
0.00199899,3.72916e-10,7.04888e-11,4.39557e-08,0.446417,0.996279,0.0369233,4.18879e+18,303132,3.43499e+54
0.00165025,4.42703e-10,8.37592e-11,4.78923e-08,0.446417,0.997221,0.0199235,4.18879e+18,255373,2.20243e+54
0.0156363,1.37381e-10,2.33183e-11,2.66792e-08,0.446417,0.894628,0.289203,4.18879e+18,806082,8.90028e+54
0.116724,5.95239e-11,1.42059e-12,1.75612e-08,0.446417,0.12579,0.169994,4.18879e+18,564402,3.18717e+53
0.0628565,1.03085e-10,8.09002e-12,2.31104e-08,0.446417,0.413642,0.266551,4.18879e+18,756423,2.84599e+54
0.0828984,2.28008e-10,1.17965e-11,3.43704e-08,0.446417,0.272693,0.0217888,4.18879e+18,261382,3.39226e+53
0.00706786,1.95906e-10,3.60341e-11,3.18591e-08,0.446417,0.969475,0.175578,4.18879e+18,574834,8.35003e+54
0.00327279,1.10452e-11,2.07786e-12,7.56477e-09,0.446417,0.991549,0.906864,4.18879e+18,1.02289e+07,2.48692e+54
0.0134112,1.7492e-10,3.04091e-11,3.01044e-08,0.446417,0.916293,0.2079,4.18879e+18,636685,8.34376e+54
0.0202387,6.85592e-13,1.10156e-13,1.8847e-09,0.446417,0.846863,0.993736,4.18879e+18,1.59159e+08,1.44472e+53
0.0108681,1.4684e-10,2.61716e-11,2.75824e-08,0.446417,0.939416,0.269409,4.18879e+18,762497,9.30565e+54
0.0154549,9.7203e-13,1.65321e-13,2.24414e-09,0.446417,0.896436,0.991265,4.18879e+18,1.13983e+08,2.16282e+53
0.00105507,1.77599e-11,3.36418e-12,9.59244e-09,0.446417,0.998416,0.854644,4.18879e+18,6.36656e+06,3.79462e+54
0.00544006,1.69894e-12,3.15932e-13,2.96687e-09,0.446417,0.980138,0.985052,4.18879e+18,6.63973e+07,4.1073e+53
0.00208333,7.44507e-13,1.40692e-13,1.96401e-09,0.446417,0.996026,0.993435,4.18879e+18,1.51831e+08,1.84464e+53
0.0160514,6.02306e-12,1.01757e-12,5.58622e-09,0.446417,0.890466,0.947001,4.18879e+18,1.83647e+07,1.2718e+54
0.0290731,6.81192e-10,9.6904e-11,5.94079e-08,0.446417,0.749796,0.00150461,4.18879e+18,153877,1.92428e+53
0.00329449,4.38208e-12,8.24293e-13,4.76485e-09,0.446417,0.991454,0.961956,4.18879e+18,2.57821e+07,1.0465e+54
0.00234507,1.8264e-10,3.44846e-11,3.07615e-08,0.446417,0.99518,0.198716,4.18879e+18,618862,9.04402e+54
0.00714476,1.56417e-11,2.87545e-12,9.00225e-09,0.446417,0.968933,0.870304,4.18879e+18,7.19893e+06,3.30279e+54
0.00326741,4.24883e-12,7.99324e-13,4.69185e-09,0.446417,0.991573,0.963091,4.18879e+18,2.6591e+07,1.016e+54
0.00214236,6.64424e-13,1.25535e-13,1.85538e-09,0.446417,0.995843,0.994139,4.18879e+18,1.70128e+08,1.64708e+53
0.00389154,6.54217e-11,1.22716e-11,1.84107e-08,0.446417,0.988667,0.560307,4.18879e+18,1.72633e+06,9.07466e+54
0.127091,4.73859e-11,8.79946e-13,1.56687e-08,0.446417,0.0978765,0.178414,4.18879e+18,580224,2.07199e+53
0.0173489,9.60349e-13,1.59837e-13,2.23061e-09,0.446417,0.877245,0.991322,4.18879e+18,1.14736e+08,2.09121e+53
