m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.0241705,5.30246e-13,8.08959e-14,1.65748e-09,0.446417,0.804119,0.984757,4.18879e+18,6.51008e+07,1.05138e+53
0.0237705,1.47246e-11,2.25871e-12,8.73436e-09,0.446417,0.808518,0.65123,4.18879e+18,2.33159e+06,1.94133e+54
0.00376405,1.12983e-11,2.12062e-12,7.65095e-09,0.446417,0.989287,0.668532,4.18879e+18,2.48342e+06,1.87107e+54
0.0306563,5.9701e-13,8.29373e-14,1.75874e-09,0.446417,0.732216,0.984375,4.18879e+18,6.34984e+07,1.07749e+53
0.0111879,4.489e-12,7.97705e-13,4.82263e-09,0.446417,0.936621,0.859443,4.18879e+18,6.60193e+06,9.04822e+53
0.0640849,2.04387e-10,1.5653e-11,3.25414e-08,0.446417,0.403661,0.0511881,4.18879e+18,336446,1.05748e+54
0.0155513,7.03274e-12,1.19483e-12,6.03631e-09,0.446417,0.895476,0.797017,4.18879e+18,4.40764e+06,1.25684e+54
0.0361717,1.0054e-10,1.28097e-11,2.28233e-08,0.446417,0.671538,0.08783,4.18879e+18,411125,1.48486e+54
0.0624149,5.97205e-12,4.72795e-13,5.56251e-09,0.446417,0.417274,0.914136,4.18879e+18,1.11388e+07,5.7041e+53
0.00248124,2.50766e-12,4.73252e-13,3.60449e-09,0.446417,0.994706,0.914057,4.18879e+18,1.11281e+07,5.70912e+53
0.00718106,8.3612e-12,1.53665e-12,6.58179e-09,0.446417,0.968677,0.746929,4.18879e+18,3.42718e+06,1.51481e+54
0.0015211,7.53805e-11,1.42663e-11,1.97624e-08,0.446417,0.997525,0.0666077,4.18879e+18,369149,1.25412e+54
0.0012329,1.56722e-12,2.96783e-13,2.84954e-09,0.446417,0.998114,0.945204,4.18879e+18,1.77449e+07,3.70227e+53
0.00340068,7.55835e-13,1.42109e-13,1.9789e-09,0.446417,0.990981,0.973377,4.18879e+18,3.70588e+07,1.8256e+53
0.0476003,2.83263e-11,2.96764e-12,1.21145e-08,0.446417,0.552194,0.56921,4.18879e+18,1.77461e+06,2.2294e+54
0.00216791,2.28914e-12,4.32471e-13,3.44386e-09,0.446417,0.995762,0.921162,4.18879e+18,1.21774e+07,5.25771e+53
0.0197502,9.29442e-12,1.50255e-12,6.93938e-09,0.446417,0.852075,0.751782,4.18879e+18,3.50497e+06,1.49082e+54
