m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00215616,2.67641e-10,5.05653e-11,3.72379e-08,0.446417,0.995799,0.094628,4.18879e+18,424126,6.31504e+54
0.033402,3.57437e-10,4.75969e-11,4.30338e-08,0.446417,0.701859,0.0858263,4.18879e+18,407315,5.39141e+54
0.0453768,3.46131e-11,3.77284e-12,1.33915e-08,0.446417,0.574511,0.808157,4.18879e+18,4.69581e+06,4.02409e+54
0.0445038,1.51766e-12,1.67987e-13,2.80413e-09,0.446417,0.583406,0.990631,4.18879e+18,1.0626e+08,2.1963e+53
0.00322737,3.79929e-10,7.14878e-11,4.43671e-08,0.446417,0.991747,0.0356153,4.18879e+18,299855,3.36026e+54
0.0038635,2.30526e-11,4.32473e-12,1.09287e-08,0.446417,0.988804,0.817235,4.18879e+18,4.95476e+06,4.66455e+54
0.0021925,5.81738e-12,1.09895e-12,5.49001e-09,0.446417,0.995684,0.950047,4.18879e+18,1.95148e+07,1.37793e+54
0.0866571,7.3405e-11,3.49867e-12,1.95017e-08,0.446417,0.251217,0.720576,4.18879e+18,3.05321e+06,3.32726e+54
0.00635077,1.28843e-12,2.38183e-13,2.58368e-09,0.446417,0.974365,0.988923,4.18879e+18,8.97756e+07,3.10868e+53
0.0390223,1.92937e-10,2.34563e-11,3.16167e-08,0.446417,0.640792,0.28425,4.18879e+18,795105,8.79962e+54
0.00224433,8.82819e-11,1.66743e-11,2.13868e-08,0.446417,0.995516,0.459539,4.18879e+18,1.28613e+06,1.01129e+55
0.14058,2.34645e-11,3.1188e-13,1.10259e-08,0.446417,0.0700564,0.924135,4.18879e+18,1.26909e+07,3.80388e+53
0.0019139,6.86559e-12,1.29806e-12,5.96415e-09,0.446417,0.996525,0.941273,4.18879e+18,1.6523e+07,1.61255e+54
0.00123276,3.01176e-11,5.70335e-12,1.24917e-08,0.446417,0.998114,0.766537,4.18879e+18,3.76122e+06,5.76988e+54
0.0156591,1.33351e-11,2.26285e-12,8.31203e-09,0.446417,0.8944,0.897884,4.18879e+18,9.28434e+06,2.68151e+54
0.00224495,6.1492e-10,1.16143e-10,5.64441e-08,0.446417,0.995514,0.00444574,4.18879e+18,184646,6.81463e+53
0.00198779,7.44533e-11,1.40737e-11,1.96405e-08,0.446417,0.996312,0.518818,4.18879e+18,1.52393e+06,9.63667e+54
0.00353059,1.90814e-10,3.58546e-11,3.14423e-08,0.446417,0.990389,0.187695,4.18879e+18,597757,8.8818e+54
0.00712447,8.92917e-11,1.64171e-11,2.15087e-08,0.446417,0.969076,0.46373,4.18879e+18,1.30134e+06,1.00477e+55
0.0536556,3.58284e-11,3.35831e-12,1.36246e-08,0.446417,0.494043,0.814571,4.18879e+18,4.87709e+06,3.61039e+54
0.191989,5.24494e-10,1.82661e-12,5.21291e-08,0.446417,0.0183559,0.212617,4.18879e+18,647311,5.12563e+53
0.0106872,4.86515e-12,8.68572e-13,5.02062e-09,0.446417,0.940981,0.959948,4.18879e+18,2.44653e+07,1.10042e+54
0.00504899,4.05673e-12,7.56167e-13,4.58456e-09,0.446417,0.982454,0.965296,4.18879e+18,2.8313e+07,9.63345e+53
0.0766801,3.97669e-11,2.3505e-12,1.43539e-08,0.446417,0.311538,0.826869,4.18879e+18,5.26251e+06,2.56508e+54
