m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00686896,7.44195e-12,1.37079e-12,6.20945e-09,0.446417,0.97086,0.944636,4.18879e+18,1.75579e+07,1.70899e+54
0.00131257,6.23556e-10,1.18064e-10,5.68391e-08,0.446417,0.997964,0.00846182,4.18879e+18,209548,1.31852e+54
0.0255644,8.16252e-11,1.22147e-11,2.05647e-08,0.446417,0.788736,0.535396,4.18879e+18,1.60079e+06,8.63105e+54
0.00232256,1.16558e-10,2.20092e-11,2.45742e-08,0.446417,0.995256,0.409818,4.18879e+18,1.12103e+06,1.19042e+55
0.00134196,1.11628e-10,2.11344e-11,2.40489e-08,0.446417,0.997906,0.425577,4.18879e+18,1.17054e+06,1.18706e+55
0.112819,3.2202e-10,8.43445e-12,4.08461e-08,0.446417,0.138053,0.0849635,4.18879e+18,405766,9.45786e+53
0.00948341,1.73395e-11,3.12884e-12,9.47824e-09,0.446417,0.951084,0.875722,4.18879e+18,7.53568e+06,3.61621e+54
0.114816,8.70128e-12,2.17346e-13,6.7143e-09,0.446417,0.131656,0.935549,4.18879e+18,1.50167e+07,2.68363e+53
0.00237416,4.59214e-13,8.66967e-14,1.54247e-09,0.446417,0.99508,0.996492,4.18879e+18,2.8454e+08,1.1402e+53
0.00543587,5.28714e-11,9.83213e-12,1.65508e-08,0.446417,0.980164,0.667216,4.18879e+18,2.47137e+06,8.65801e+54
0.00211502,1.65133e-12,3.12027e-13,2.92501e-09,0.446417,0.995928,0.987442,4.18879e+18,7.91269e+07,4.06637e+53
0.0412531,2.17576e-12,2.54753e-13,3.35749e-09,0.446417,0.617135,0.983484,4.18879e+18,6.00549e+07,3.30666e+53
0.00102041,6.24306e-12,1.18266e-12,5.68733e-09,0.446417,0.99847,0.953344,4.18879e+18,2.09296e+07,1.48804e+54
0.0125811,1.05692e-11,1.85297e-12,7.39996e-09,0.446417,0.924056,0.922294,4.18879e+18,1.23628e+07,2.25549e+54
0.022404,1.14929e-12,1.79558e-13,2.44019e-09,0.446417,0.823471,0.991242,4.18879e+18,1.13692e+08,2.34903e+53
0.00643154,3.38407e-11,6.25247e-12,1.32413e-08,0.446417,0.973829,0.771827,4.18879e+18,3.86117e+06,6.36906e+54
0.0202774,3.08577e-10,4.95556e-11,3.99845e-08,0.446417,0.846448,0.094254,4.18879e+18,423443,6.16448e+54
0.0947594,5.44216e-12,2.16558e-13,5.31001e-09,0.446417,0.209736,0.959192,4.18879e+18,2.40097e+07,2.74147e+53
0.00305473,2.01712e-12,3.79825e-13,3.23278e-09,0.446417,0.992482,0.984681,4.18879e+18,6.47778e+07,4.93609e+53
0.00110538,5.98181e-13,1.13302e-13,1.76046e-09,0.446417,0.998335,0.995432,4.18879e+18,2.18437e+08,1.48851e+53
0.00237975,5.39939e-10,1.01935e-10,5.2891e-08,0.446417,0.995061,0.0160464,4.18879e+18,241999,2.15876e+54
0.0315437,7.10481e-13,9.73751e-14,1.91861e-09,0.446417,0.722382,0.994577,4.18879e+18,1.8391e+08,1.27817e+53
0.00351528,9.23524e-11,1.73546e-11,2.18743e-08,0.446417,0.990459,0.493221,4.18879e+18,1.41485e+06,1.12969e+55
0.00116905,8.0982e-12,1.53372e-12,6.47745e-09,0.446417,0.998228,0.939905,4.18879e+18,1.6135e+07,1.90254e+54
0.0021125,1.19009e-10,2.24874e-11,2.48313e-08,0.446417,0.995936,0.402202,4.18879e+18,1.09794e+06,1.19368e+55
0.0325719,7.60013e-10,1.02524e-10,6.27509e-08,0.446417,0.711012,0.00297596,4.18879e+18,171924,4.02678e+53
0.00204945,1.12551e-11,2.12712e-12,7.63631e-09,0.446417,0.996129,0.917468,4.18879e+18,1.16094e+07,2.57565e+54
0.0573248,6.05373e-11,5.2925e-12,1.77101e-08,0.446417,0.460796,0.629142,4.18879e+18,2.15842e+06,4.39454e+54
