m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.00222881,1.42282e-10,2.6875e-11,2.71509e-08,0.446417,0.995566,0.335021,4.18879e+18,2.06234e+10,914449,1.18829e+55
0.181429,4.10315e-10,1.89494e-12,4.61071e-08,0.446417,0.0243416,0.042593,4.18879e+18,1.21444e+10,317096,1.06522e+53
0.148478,1.119e-10,1.21833e-12,2.40783e-08,0.446417,0.0573859,0.422925,4.18879e+18,2.32552e+10,1.16272e+06,6.80038e+53
0.00952461,9.01241e-12,1.62568e-12,6.83329e-09,0.446417,0.950748,0.933074,4.18879e+18,8.19435e+10,1.44367e+07,2.00196e+54
0.0285657,5.58852e-11,8.0098e-12,1.7016e-08,0.446417,0.755434,0.65079,4.18879e+18,3.29069e+10,2.32816e+06,6.87965e+54
0.0184786,2.78923e-11,4.58019e-12,1.20213e-08,0.446417,0.865506,0.807034,4.18879e+18,4.65793e+10,4.6647e+06,4.87841e+54
0.0154545,8.66179e-13,1.47319e-13,2.11843e-09,0.446417,0.89644,0.993364,4.18879e+18,2.64321e+11,1.50211e+08,1.93139e+53
0.0292939,4.66585e-12,6.61576e-13,4.91672e-09,0.446417,0.747343,0.964771,4.18879e+18,1.13886e+11,2.78854e+07,8.42379e+53
0.00329879,8.90106e-10,1.67431e-10,6.79095e-08,0.446417,0.991435,0.00106873,4.18879e+18,8.24545e+09,146173,2.3616e+53
0.0889355,3.48194e-12,1.57824e-13,4.24737e-09,0.446417,0.238904,0.973585,4.18879e+18,1.31833e+11,3.73669e+07,2.02792e+53
0.00132521,1.63672e-12,3.0989e-13,2.91204e-09,0.446417,0.997939,0.987499,4.18879e+18,1.92286e+11,7.94938e+07,4.03876e+53
0.00336532,8.54848e-10,1.60751e-10,6.65509e-08,0.446417,0.99114,0.00140138,4.18879e+18,8.41377e+09,152202,2.97312e+53
0.00195544,1.8416e-11,3.48145e-12,9.76803e-09,0.446417,0.996406,0.868018,4.18879e+18,5.73241e+10,7.06502e+06,3.98834e+54
0.0386152,6.49772e-12,7.95335e-13,5.80216e-09,0.446417,0.645149,0.95128,4.18879e+18,9.65061e+10,2.00238e+07,9.98532e+53
0.118475,4.78678e-11,1.09545e-12,1.57482e-08,0.446417,0.12062,0.692068,4.18879e+18,3.5556e+10,2.7181e+06,1.00056e+54
