m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.0684498,9.4932e-12,6.65764e-13,7.01319e-09,0.446417,0.36964,0.92963,4.18879e+18,7.98415e+10,1.37055e+07,8.16834e+53
0.0978099,7.46575e-12,2.7723e-13,6.21937e-09,0.446417,0.195722,0.944229,4.18879e+18,9.00323e+10,1.74275e+07,3.45479e+53
0.00417016,1.23413e-10,2.31166e-11,2.52866e-08,0.446417,0.987264,0.387306,4.18879e+18,2.21439e+10,1.05426e+06,1.18163e+55
0.0113985,3.99572e-12,7.08638e-13,4.54995e-09,0.446417,0.934762,0.969756,4.18879e+18,1.23066e+11,3.25622e+07,9.06966e+53
0.0542785,1.46118e-10,1.35367e-11,2.75145e-08,0.446417,0.488291,0.325267,4.18879e+18,2.03509e+10,890440,5.81105e+54
0.0328537,4.05969e-12,5.45248e-13,4.58623e-09,0.446417,0.707902,0.969279,4.18879e+18,1.22092e+11,3.20491e+07,6.97504e+53
0.00224806,3.12778e-11,5.90755e-12,1.273e-08,0.446417,0.995504,0.786316,4.18879e+18,4.39863e+10,4.1598e+06,6.13068e+54
0.0415567,3.10651e-12,3.61852e-13,4.01186e-09,0.446417,0.613945,0.976406,4.18879e+18,1.39572e+11,4.18828e+07,4.663e+53
0.0216631,1.59398e-11,2.51469e-12,9.08763e-09,0.446417,0.831522,0.884694,4.18879e+18,6.16161e+10,8.16257e+06,2.93617e+54
0.0773693,9.04896e-12,5.27105e-13,6.84713e-09,0.446417,0.307022,0.932809,4.18879e+18,8.17779e+10,1.43784e+07,6.48923e+53
0.0297363,1.70447e-11,2.4009e-12,9.39734e-09,0.446417,0.742428,0.877211,4.18879e+18,5.95854e+10,7.6334e+06,2.77959e+54
0.147885,1.1224e-11,1.24057e-13,7.62577e-09,0.446417,0.0582565,0.917337,4.18879e+18,7.34279e+10,1.15921e+07,1.50195e+53
0.00194708,3.1446e-10,5.94485e-11,4.03638e-08,0.446417,0.99643,0.0891982,4.18879e+18,1.38724e+10,413755,6.99844e+54
0.131559,6.39562e-12,1.06412e-13,5.7564e-09,0.446417,0.0876962,0.952026,4.18879e+18,9.72733e+10,2.03435e+07,1.33704e+53
0.00223808,8.95254e-12,1.69095e-12,6.81056e-09,0.446417,0.995536,0.933506,4.18879e+18,8.22171e+10,1.45332e+07,2.0833e+54
0.090178,2.49229e-12,1.09894e-13,3.59343e-09,0.446417,0.232407,0.981025,4.18879e+18,1.55825e+11,5.22047e+07,1.42285e+53
0.170419,3.06711e-11,1.89433e-13,1.26059e-08,0.446417,0.0325534,0.789955,4.18879e+18,4.44191e+10,4.24208e+06,1.97498e+53
0.00322845,1.70488e-12,3.2079e-13,2.97205e-09,0.446417,0.991743,0.986982,4.18879e+18,1.88403e+11,7.63159e+07,4.17863e+53
0.0460768,8.0404e-13,8.65608e-14,2.04103e-09,0.446417,0.567433,0.993839,4.18879e+18,2.74344e+11,1.61819e+08,1.13538e+53
0.00536604,5.49505e-12,1.02232e-12,5.33575e-09,0.446417,0.980584,0.958645,4.18879e+18,1.04942e+11,2.36776e+07,1.29344e+54
0.0215867,3.48606e-12,5.50515e-13,4.24988e-09,0.446417,0.83235,0.973562,4.18879e+18,1.31755e+11,3.73228e+07,7.07354e+53
0.0114698,4.00409e-10,7.09643e-11,4.55472e-08,0.446417,0.93413,0.0460734,4.18879e+18,1.22937e+10,324941,4.31513e+54
0.0149967,4.63054e-12,7.91539e-13,4.89808e-09,0.446417,0.900972,0.965036,4.18879e+18,1.14319e+11,2.80981e+07,1.00814e+54
0.01463,7.93873e-12,1.36245e-12,6.41335e-09,0.446417,0.904569,0.940807,4.18879e+18,8.73091e+10,1.63892e+07,1.69171e+54
0.0174771,7.47272e-12,1.24186e-12,6.22227e-09,0.446417,0.875922,0.944183,4.18879e+18,8.99903e+10,1.74113e+07,1.54751e+54
0.00105412,7.93688e-11,1.50346e-11,2.02784e-08,0.446417,0.998417,0.543342,4.18879e+18,2.76128e+10,1.6393e+06,1.07812e+55
0.0449163,1.24302e-10,1.36593e-11,2.53774e-08,0.446417,0.579194,0.384654,4.18879e+18,2.20646e+10,1.04672e+06,6.93432e+54
0.00193931,3.67187e-11,6.94181e-12,1.37928e-08,0.446417,0.996453,0.754112,4.18879e+18,4.05968e+10,3.54341e+06,6.90895e+54
0.099455,5.98631e-11,2.14099e-12,1.76112e-08,0.446417,0.188507,0.631189,4.18879e+18,3.17947e+10,2.17345e+06,1.78352e+54
0.210393,1.9058e-10,4.02914e-13,3.14231e-08,0.446417,0.0111431,0.23105,4.18879e+18,1.78195e+10,682701,1.22864e+53
0.00102817,1.27214e-10,2.40986e-11,2.5673e-08,0.446417,0.998458,0.376158,4.18879e+18,2.18106e+10,1.02276e+06,1.19637e+55
0.00134299,6.34467e-13,1.20123e-13,1.81307e-09,0.446417,0.997904,0.995135,4.18879e+18,3.08838e+11,2.05069e+08,1.57766e+53
0.0600651,2.87849e-10,2.3865e-11,3.86182e-08,0.446417,0.436987,0.109425,4.18879e+18,1.44995e+10,452005,3.44654e+54
0.00496683,2.69025e-11,5.01698e-12,1.18061e-08,0.446417,0.982927,0.813207,4.18879e+18,4.74285e+10,4.83634e+06,5.38452e+54
0.0484326,8.97897e-12,9.2668e-13,6.8206e-09,0.446417,0.543969,0.933313,4.18879e+18,8.2096e+10,1.44905e+07,1.14146e+54
0.00682822,2.72122e-12,5.01388e-13,3.75484e-09,0.446417,0.971141,0.979302,4.18879e+18,1.49126e+11,4.78129e+07,6.48029e+53
0.00202159,1.52722e-11,2.88658e-12,8.89531e-09,0.446417,0.996212,0.889247,4.18879e+18,6.29483e+10,8.51934e+06,3.38774e+54
0.00107906,8.56513e-12,1.6224e-12,6.66157e-09,0.446417,0.998378,0.93629,4.18879e+18,8.40559e+10,1.51906e+07,2.0048e+54
0.00338102,4.56597e-10,8.58551e-11,4.86381e-08,0.446417,0.991069,0.0299164,4.18879e+18,1.15125e+10,284954,3.38984e+54
0.146908,5.5436e-11,6.28111e-13,1.69475e-08,0.446417,0.0597195,0.653023,4.18879e+18,3.30399e+10,2.34702e+06,5.41338e+53
