m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,F,lambda_phi,energy loss rate
0.0612588,2.88831e-12,2.33932e-13,3.8684e-09,0.446417,0.42689,0.978044,4.18879e+18,1.44748e+11,4.50468e+07,3.01962e+53
0.0180139,6.62168e-12,1.09344e-12,5.85725e-09,0.446417,0.870357,0.950379,4.18879e+18,9.55985e+10,1.9649e+07,1.3715e+54
0.00168288,2.05375e-11,3.88538e-12,1.03153e-08,0.446417,0.997141,0.853979,4.18879e+18,5.42826e+10,6.3352e+06,4.3791e+54
0.00598596,2.91747e-10,5.40647e-11,3.88788e-08,0.446417,0.976739,0.10621,4.18879e+18,1.44023e+10,445967,7.57851e+54
0.0817155,6.66163e-12,3.53584e-13,5.87489e-09,0.446417,0.279759,0.950084,4.18879e+18,9.53114e+10,1.95312e+07,4.43362e+53
0.0010275,8.25444e-10,1.56368e-10,6.53963e-08,0.446417,0.998459,0.00175685,4.18879e+18,8.56232e+09,157623,3.62564e+53
0.00112297,9.43333e-10,1.78672e-10,6.99104e-08,0.446417,0.998306,0.000709956,4.18879e+18,8.00945e+09,137925,1.67414e+53
0.00107375,4.77828e-13,9.05105e-14,1.57342e-09,0.446417,0.998386,0.996334,4.18879e+18,3.55877e+11,2.72293e+08,1.19017e+53
0.0212422,2.38048e-12,3.77607e-13,3.5119e-09,0.446417,0.836075,0.98187,4.18879e+18,1.59442e+11,5.46567e+07,4.89325e+53
0.0186158,1.87743e-12,3.07779e-13,3.11883e-09,0.446417,0.864066,0.985674,4.18879e+18,1.79537e+11,6.9302e+07,4.00383e+53
0.0802871,3.36365e-12,1.84108e-13,4.1746e-09,0.446417,0.288491,0.974477,4.18879e+18,1.34131e+11,3.8681e+07,2.36782e+53
0.0299305,1.66832e-11,2.34315e-12,9.29715e-09,0.446417,0.740272,0.879652,4.18879e+18,6.02275e+10,7.79881e+06,2.72029e+54
0.0111702,3.43089e-12,6.09778e-13,4.21612e-09,0.446417,0.936777,0.973975,4.18879e+18,1.3281e+11,3.79229e+07,7.83833e+53
0.00910326,9.9181e-13,1.79546e-13,2.26685e-09,0.446417,0.954155,0.992406,4.18879e+18,2.47014e+11,1.31184e+08,2.35163e+53
0.00674668,4.47621e-13,8.25223e-14,1.52288e-09,0.446417,0.971701,0.996566,4.18879e+18,3.67689e+11,2.90669e+08,1.08538e+53
0.0128383,8.43227e-13,1.47452e-13,2.09017e-09,0.446417,0.921672,0.99354,4.18879e+18,2.67894e+11,1.54299e+08,1.93347e+53
0.0186548,2.32782e-12,3.81435e-13,3.47284e-09,0.446417,0.863657,0.982267,4.18879e+18,1.61235e+11,5.58931e+07,4.94486e+53
0.00512811,3.93695e-11,7.33495e-12,1.4282e-08,0.446417,0.981994,0.738903,4.18879e+18,3.92063e+10,3.30483e+06,7.15299e+54
0.00674342,7.44913e-11,1.37334e-11,1.96455e-08,0.446417,0.971723,0.564095,4.18879e+18,2.85025e+10,1.74664e+06,1.02243e+55
0.0179066,5.55832e-13,9.19025e-14,1.697e-09,0.446417,0.871474,0.995737,4.18879e+18,3.29961e+11,2.3408e+08,1.20775e+53
0.021997,1.1538e-12,1.81232e-13,2.44497e-09,0.446417,0.827899,0.991171,4.18879e+18,2.29019e+11,1.12766e+08,2.37076e+53
0.128571,3.26033e-10,5.83863e-12,4.10998e-08,0.446417,0.0943888,0.0815776,4.18879e+18,1.3624e+10,399068,6.28616e+53
0.122061,2.46605e-10,5.17589e-12,3.57446e-08,0.446417,0.110625,0.150224,4.18879e+18,1.56651e+10,527603,1.02619e+54
0.00918401,2.29603e-12,4.15366e-13,3.44904e-09,0.446417,0.953508,0.982508,4.18879e+18,1.62348e+11,5.6667e+07,5.38606e+53
0.00651925,2.46861e-10,4.5583e-11,3.57632e-08,0.446417,0.973242,0.149965,4.18879e+18,1.5657e+10,527055,9.02189e+54
0.0145826,1.39354e-12,2.39283e-13,2.68701e-09,0.446417,0.905032,0.989346,4.18879e+18,2.08389e+11,9.3366e+07,3.12439e+53
0.0494718,3.80291e-12,3.85144e-13,4.43882e-09,0.446417,0.5338,0.971193,4.18879e+18,1.26147e+11,3.42132e+07,4.93665e+53
0.0627587,6.85753e-10,5.39216e-11,5.96065e-08,0.446417,0.414444,0.00513867,4.18879e+18,9.39401e+09,189732,3.65693e+53
0.00240499,4.82882e-10,9.11552e-11,5.00184e-08,0.446417,0.994974,0.0244442,4.18879e+18,1.11948e+10,269443,2.94077e+54
0.0151653,3.06387e-12,5.22767e-13,3.98424e-09,0.446417,0.899308,0.976726,4.18879e+18,1.4054e+11,4.24656e+07,6.73883e+53
0.0063704,2.65761e-12,4.91229e-13,3.7107e-09,0.446417,0.974235,0.979781,4.18879e+18,1.509e+11,4.89572e+07,6.3521e+53
0.0787635,2.89617e-12,1.63773e-13,3.87366e-09,0.446417,0.298051,0.977984,4.18879e+18,1.44552e+11,4.49246e+07,2.11387e+53
0.0076541,2.05396e-12,3.76156e-13,3.26216e-09,0.446417,0.965269,0.984337,4.18879e+18,1.71648e+11,6.33457e+07,4.88671e+53
0.0248983,1.67362e-11,2.52786e-12,9.31191e-09,0.446417,0.796097,0.879294,4.18879e+18,6.01321e+10,7.77411e+06,2.93353e+54
0.0014798,2.06289e-12,3.90453e-13,3.26924e-09,0.446417,0.997617,0.98427,4.18879e+18,1.71276e+11,6.30715e+07,5.07208e+53
0.114562,1.77062e-10,4.44955e-12,3.02881e-08,0.446417,0.132453,0.256393,4.18879e+18,1.84873e+10,734825,1.50566e+54
0.0879708,2.36048e-11,1.09298e-12,1.10588e-08,0.446417,0.244053,0.834068,4.18879e+18,5.06332e+10,5.51199e+06,1.20315e+54
0.0133526,2.29031e-11,3.984e-12,1.08932e-08,0.446417,0.916848,0.838591,4.18879e+18,5.1403e+10,5.68087e+06,4.40934e+54
0.0075762,2.72582e-12,4.99493e-13,3.75801e-09,0.446417,0.965838,0.979268,4.18879e+18,1.49e+11,4.77323e+07,6.45557e+53
0.00138249,6.25302e-13,1.18378e-13,1.79993e-09,0.446417,0.997824,0.995206,4.18879e+18,3.11093e+11,2.08074e+08,1.55485e+53
0.0124271,2.97241e-10,5.21917e-11,3.92432e-08,0.446417,0.925474,0.101817,4.18879e+18,1.42686e+10,437724,7.01335e+54
0.0110152,2.56463e-12,4.56477e-13,3.6452e-09,0.446417,0.938135,0.980481,4.18879e+18,1.53611e+11,5.07323e+07,5.90693e+53
0.00288635,9.02507e-10,1.7006e-10,6.83809e-08,0.446417,0.993171,0.000971623,4.18879e+18,8.1886e+09,144164,2.18075e+53
0.0112997,1.03691e-11,1.84067e-12,7.32959e-09,0.446417,0.935636,0.923397,4.18879e+18,7.6395e+10,1.25478e+07,2.2432e+54
0.00427901,1.57756e-12,2.95324e-13,2.85892e-09,0.446417,0.9867,0.987948,4.18879e+18,1.95859e+11,8.24752e+07,3.85067e+53
0.0740788,5.59325e-11,3.49195e-12,1.70232e-08,0.446417,0.32906,0.650559,4.18879e+18,3.2893e+10,2.32619e+06,2.99818e+54
0.0185868,3.0667e-10,5.02922e-11,3.98607e-08,0.446417,0.864371,0.0946977,4.18879e+18,1.40475e+10,424265,6.28555e+54
0.0718284,4.05789e-10,2.65491e-11,4.58521e-08,0.446417,0.344843,0.0441977,4.18879e+18,1.2212e+10,320633,1.54865e+54
0.0529751,1.12291e-11,1.06604e-12,7.6275e-09,0.446417,0.500378,0.91731,4.18879e+18,7.34112e+10,1.15868e+07,1.2906e+54
0.00258742,4.45031e-10,8.39549e-11,4.80181e-08,0.446417,0.994321,0.0326977,4.18879e+18,1.16611e+10,292360,3.62299e+54
0.00359373,9.92686e-12,1.86474e-12,7.17159e-09,0.446417,0.990096,0.926541,4.18879e+18,7.80781e+10,1.31068e+07,2.28027e+54
0.0202786,3.6812e-11,5.91169e-12,1.38103e-08,0.446417,0.846436,0.753567,4.18879e+18,4.05453e+10,3.53443e+06,5.87946e+54
0.00170957,1.15082e-10,2.17703e-11,2.44182e-08,0.446417,0.997073,0.412918,4.18879e+18,2.29314e+10,1.13058e+06,1.1864e+55
0.011706,1.06935e-10,1.89093e-11,2.3538e-08,0.446417,0.932021,0.439597,4.18879e+18,2.37889e+10,1.21671e+06,1.09707e+55
0.00293402,3.76274e-10,7.08881e-11,4.41532e-08,0.446417,0.992979,0.0554656,4.18879e+18,1.26819e+10,345783,5.1892e+54
0.0118261,8.2086e-12,1.44984e-12,6.52145e-09,0.446417,0.930941,0.938858,4.18879e+18,8.58619e+10,1.58504e+07,1.79649e+54
0.0196423,9.06759e-11,1.46785e-11,2.16748e-08,0.446417,0.853222,0.498109,4.18879e+18,2.58339e+10,1.43488e+06,9.64964e+54
0.0167938,3.46442e-10,5.80349e-11,4.23667e-08,0.446417,0.882938,0.0697562,4.18879e+18,1.32166e+10,375559,5.34289e+54
0.0039524,5.06867e-13,9.50475e-14,1.62053e-09,0.446417,0.988366,0.996112,4.18879e+18,3.45532e+11,2.56693e+08,1.24955e+53
0.0290323,4.31803e-11,6.14639e-12,1.49573e-08,0.446417,0.750249,0.717568,4.18879e+18,3.74362e+10,3.01316e+06,5.82085e+54
0.00207539,5.20506e-12,9.83639e-13,5.19305e-09,0.446417,0.99605,0.960784,4.18879e+18,1.07826e+11,2.49967e+07,1.24728e+54
0.0774919,4.69893e-12,2.73004e-13,4.93411e-09,0.446417,0.306225,0.964526,4.18879e+18,1.13484e+11,2.76892e+07,3.47525e+53
0.0861214,5.49816e-10,2.65156e-11,5.33726e-08,0.446417,0.254188,0.0146077,4.18879e+18,1.04912e+10,236642,5.11194e+53
0.0204075,4.02505e-10,6.45335e-11,4.56662e-08,0.446417,0.845056,0.0453357,4.18879e+18,1.22617e+10,323249,3.86126e+54
0.00270294,3.39374e-10,6.39949e-11,4.19323e-08,0.446417,0.993888,0.0736535,4.18879e+18,1.33535e+10,383380,6.22075e+54
0.0706635,3.30171e-10,2.21279e-11,4.13598e-08,0.446417,0.353242,0.0790368,4.18879e+18,1.35384e+10,394067,2.3082e+54
0.0192695,1.97966e-11,3.21951e-12,1.01276e-08,0.446417,0.857177,0.858854,4.18879e+18,5.52891e+10,6.57231e+06,3.64933e+54
0.00470079,1.6463e-11,3.07484e-12,9.23559e-09,0.446417,0.984427,0.881145,4.18879e+18,6.06289e+10,7.90312e+06,3.5758e+54
0.00969547,8.11568e-10,1.46177e-10,6.48443e-08,0.446417,0.949346,0.00195445,4.18879e+18,8.63521e+09,160319,3.77056e+53
0.0277534,5.87832e-13,8.52581e-14,1.74516e-09,0.446417,0.764458,0.995492,4.18879e+18,3.20855e+11,2.21338e+08,1.12015e+53
0.128619,5.23708e-10,9.36756e-12,5.209e-08,0.446417,0.0942776,0.0178506,4.18879e+18,1.07496e+10,248439,2.2069e+53
0.00161045,1.90644e-10,3.60733e-11,3.14283e-08,0.446417,0.997318,0.231017,4.18879e+18,1.78165e+10,682473,1.09985e+55
0.00206617,2.26792e-10,4.28598e-11,3.42786e-08,0.446417,0.996078,0.174978,4.18879e+18,1.63351e+10,573694,9.8978e+54
0.0427469,5.94023e-11,6.77925e-12,1.75433e-08,0.446417,0.601519,0.633447,4.18879e+18,3.19178e+10,2.19031e+06,5.66755e+54
0.00377449,8.8208e-12,1.65553e-12,6.76026e-09,0.446417,0.989237,0.934452,4.18879e+18,8.28287e+10,1.47503e+07,2.04173e+54
0.00850726,2.28028e-11,4.14825e-12,1.08694e-08,0.446417,0.958843,0.839238,4.18879e+18,5.15158e+10,5.70584e+06,4.59467e+54
0.0411389,4.72637e-10,5.54474e-11,4.9485e-08,0.446417,0.618336,0.0264425,4.18879e+18,1.13154e+10,275284,1.93503e+54
0.00357443,3.07014e-12,5.76772e-13,3.98831e-09,0.446417,0.990185,0.97668,4.18879e+18,1.40396e+11,4.23789e+07,7.43464e+53
0.00154073,6.62128e-11,1.25307e-11,1.85217e-08,0.446417,0.997481,0.601155,4.18879e+18,3.02318e+10,1.96502e+06,9.94182e+54
0.078747,2.42318e-12,1.37075e-13,3.54325e-09,0.446417,0.298156,0.981547,4.18879e+18,1.58031e+11,5.36937e+07,1.77571e+53
0.0231676,1.20366e-10,1.86148e-11,2.49724e-08,0.446417,0.81513,0.396478,4.18879e+18,2.24225e+10,1.08095e+06,9.74049e+54
0.00216408,5.2838e-12,9.98241e-13,5.23218e-09,0.446417,0.995774,0.960203,4.18879e+18,1.07019e+11,2.46242e+07,1.26503e+54
0.0217578,5.33169e-12,8.40101e-13,5.25584e-09,0.446417,0.830496,0.959849,4.18879e+18,1.06538e+11,2.4403e+07,1.06424e+54
0.00546632,5.77191e-11,1.07316e-11,1.7293e-08,0.446417,0.979979,0.641708,4.18879e+18,3.23799e+10,2.25418e+06,9.08879e+54
0.0688552,4.39888e-10,3.05954e-11,4.77398e-08,0.446417,0.366594,0.0340076,4.18879e+18,1.17291e+10,295778,1.3732e+54
0.00376403,3.45038e-11,6.47618e-12,1.33704e-08,0.446417,0.989288,0.767059,4.18879e+18,4.18795e+10,3.77087e+06,6.55618e+54
0.00369426,6.88144e-11,1.29204e-11,1.88821e-08,0.446417,0.989622,0.589254,4.18879e+18,2.96548e+10,1.89073e+06,1.00481e+55
0.0289432,5.03639e-12,7.17838e-13,5.10822e-09,0.446417,0.751239,0.962029,4.18879e+18,1.09616e+11,2.58338e+07,9.1142e+53
0.0545817,1.83935e-11,1.6943e-12,9.76208e-09,0.446417,0.485507,0.868161,4.18879e+18,5.73591e+10,7.07365e+06,1.9413e+54
0.0122103,2.04881e-10,3.60516e-11,3.25807e-08,0.446417,0.92746,0.207069,4.18879e+18,1.71864e+10,635050,9.85245e+54
0.0180042,3.34994e-10,5.5324e-11,4.16608e-08,0.446417,0.870459,0.0761722,4.18879e+18,1.34405e+10,388394,5.56178e+54
0.0126767,4.23434e-12,7.41647e-13,4.68385e-09,0.446417,0.923172,0.967979,4.18879e+18,1.19548e+11,3.07272e+07,9.47474e+53
0.0150225,5.21625e-13,8.91406e-14,1.64395e-09,0.446417,0.900718,0.995999,4.18879e+18,3.40609e+11,2.49431e+08,1.17176e+53
0.0152915,2.85125e-11,4.85813e-12,1.21542e-08,0.446417,0.898059,0.803204,4.18879e+18,4.60699e+10,4.56324e+06,5.1499e+54
0.0146336,8.96402e-12,1.53836e-12,6.81492e-09,0.446417,0.904534,0.933423,4.18879e+18,8.21644e+10,1.45146e+07,1.89513e+54
0.00499235,5.94213e-13,1.10797e-13,1.75461e-09,0.446417,0.982781,0.995443,4.18879e+18,3.19127e+11,2.18961e+08,1.45562e+53
0.00412354,8.0479e-10,1.50782e-10,6.4573e-08,0.446417,0.987503,0.00205904,4.18879e+18,8.67149e+09,161669,4.09749e+53
0.00857324,5.94104e-11,1.08021e-11,1.75445e-08,0.446417,0.958332,0.633419,4.18879e+18,3.19157e+10,2.19001e+06,9.0303e+54
0.0700187,2.67606e-12,1.81744e-13,3.72355e-09,0.446417,0.357959,0.979641,4.18879e+18,1.50379e+11,4.86197e+07,2.34979e+53
0.0108929,6.96269e-11,1.24069e-11,1.89932e-08,0.446417,0.939201,0.585583,4.18879e+18,2.94813e+10,1.86867e+06,9.58862e+54
0.00623445,1.14276e-10,2.1142e-11,2.43325e-08,0.446417,0.975131,0.415483,4.18879e+18,2.30122e+10,1.13855e+06,1.15932e+55
0.12052,1.54783e-10,3.37195e-12,2.83185e-08,0.446417,0.114823,0.304283,4.18879e+18,1.97731e+10,840594,1.35414e+54
0.0111416,1.63666e-11,2.90965e-12,9.20851e-09,0.446417,0.937029,0.881797,4.18879e+18,6.08072e+10,7.94967e+06,3.38621e+54
0.0314085,4.24519e-11,5.83032e-12,1.48306e-08,0.446417,0.723879,0.721596,4.18879e+18,3.7756e+10,3.06487e+06,5.55252e+54
0.00209657,3.36234e-10,6.35365e-11,4.17379e-08,0.446417,0.995985,0.0754529,4.18879e+18,1.34157e+10,386961,6.32707e+54
0.011822,3.55524e-11,6.27967e-12,1.3572e-08,0.446417,0.930978,0.7609,4.18879e+18,4.12573e+10,3.65965e+06,6.30621e+54
0.0023298,3.11608e-10,5.88384e-11,4.01803e-08,0.446417,0.995232,0.0911752,4.18879e+18,1.39358e+10,417542,7.08014e+54
0.0112325,8.59816e-13,1.52727e-13,2.11063e-09,0.446417,0.936229,0.993413,4.18879e+18,2.65297e+11,1.51322e+08,2.0024e+53
0.0592942,1.92969e-10,1.62406e-11,3.16194e-08,0.446417,0.443595,0.226904,4.18879e+18,1.77089e+10,674251,4.8635e+54
0.0990875,5.94418e-11,2.14387e-12,1.75491e-08,0.446417,0.190098,0.633236,4.18879e+18,3.19072e+10,2.18885e+06,1.79171e+54
0.00938559,4.95989e-13,8.95743e-14,1.60304e-09,0.446417,0.95188,0.996195,4.18879e+18,3.493e+11,2.62323e+08,1.17769e+53
0.0593302,1.24197e-12,1.04453e-13,2.53668e-09,0.446417,0.443285,0.990499,4.18879e+18,2.20739e+11,1.04761e+08,1.36547e+53
0.00612601,2.88666e-10,5.34444e-11,3.8673e-08,0.446417,0.975837,0.108755,4.18879e+18,1.4479e+10,450726,7.67106e+54
0.0580181,1.01657e-11,8.76961e-13,7.25735e-09,0.446417,0.454689,0.924838,4.18879e+18,7.71555e+10,1.27989e+07,1.07041e+54
0.0812355,9.25436e-12,4.9631e-13,6.92441e-09,0.446417,0.282669,0.931337,4.18879e+18,8.08652e+10,1.40593e+07,6.10048e+53
0.123917,1.30081e-10,2.61001e-12,2.59607e-08,0.446417,0.105754,0.367907,4.18879e+18,2.15689e+10,1.00022e+06,1.26731e+54
0.00149495,8.10728e-11,1.53445e-11,2.0495e-08,0.446417,0.997584,0.536272,4.18879e+18,2.73211e+10,1.60485e+06,1.08603e+55
0.00649296,2.83453e-12,5.23491e-13,3.83221e-09,0.446417,0.973419,0.97845,4.18879e+18,1.46115e+11,4.59016e+07,6.76007e+53
0.131559,9.99032e-11,1.6622e-12,2.27509e-08,0.446417,0.0876951,0.463961,4.18879e+18,2.46119e+10,1.30235e+06,1.01781e+54
0.0466898,2.47396e-10,2.63449e-11,3.58019e-08,0.446417,0.561274,0.149337,4.18879e+18,1.56401e+10,525915,5.1924e+54
0.0115715,6.69071e-13,1.18464e-13,1.86185e-09,0.446417,0.933224,0.994871,4.18879e+18,3.00745e+11,1.94463e+08,1.55545e+53
0.0013571,6.35058e-10,1.20232e-10,5.7361e-08,0.446417,0.997875,0.00758971,4.18879e+18,9.76176e+09,204878,1.20434e+54
0.0451084,2.29629e-11,2.51484e-12,1.09074e-08,0.446417,0.577238,0.8382,4.18879e+18,5.13359e+10,5.66607e+06,2.78203e+54
0.00153408,3.3807e-10,6.39803e-11,4.18517e-08,0.446417,0.997496,0.0743959,4.18879e+18,1.33793e+10,384859,6.28202e+54
0.0385602,3.07128e-10,3.76274e-11,3.98905e-08,0.446417,0.645738,0.0943599,4.18879e+18,1.4037e+10,423633,4.68593e+54
0.0716526,5.30977e-11,3.48664e-12,1.65862e-08,0.446417,0.3461,0.66489,4.18879e+18,3.37596e+10,2.45038e+06,3.05957e+54
0.0063417,3.89871e-12,7.20772e-13,4.49438e-09,0.446417,0.974425,0.970479,4.18879e+18,1.24588e+11,3.33725e+07,9.23183e+53
0.00779812,2.69007e-11,4.92112e-12,1.18057e-08,0.446417,0.964209,0.813218,4.18879e+18,4.743e+10,4.83665e+06,5.28171e+54
0.0919515,6.11273e-12,2.59081e-13,5.62765e-09,0.446417,0.223394,0.9541,4.18879e+18,9.94987e+10,2.1285e+07,3.26237e+53
0.0495941,1.71643e-12,1.73446e-13,2.9821e-09,0.446417,0.532611,0.986894,4.18879e+18,1.87768e+11,7.58023e+07,2.25912e+53
0.0193047,7.59451e-12,1.23455e-12,6.27277e-09,0.446417,0.856804,0.943299,4.18879e+18,8.92658e+10,1.7132e+07,1.53696e+54
0.00650992,5.51193e-10,1.01784e-10,5.34394e-08,0.446417,0.973305,0.0144594,4.18879e+18,1.04781e+10,236050,1.94238e+54
0.00495195,4.37353e-13,8.1568e-14,1.50531e-09,0.446417,0.983013,0.996644,4.18879e+18,3.7198e+11,2.97493e+08,1.07291e+53
0.00613126,4.28389e-11,7.93103e-12,1.4898e-08,0.446417,0.975803,0.719459,4.18879e+18,3.75851e+10,3.03718e+06,7.53077e+54
0.00190113,1.97514e-12,3.73449e-13,3.19896e-09,0.446417,0.996561,0.984934,4.18879e+18,1.75039e+11,6.58735e+07,4.85447e+53
0.0696679,3.5514e-11,2.42934e-12,1.35647e-08,0.446417,0.360546,0.761111,4.18879e+18,4.12796e+10,3.66361e+06,2.44028e+54
0.012894,3.69068e-11,6.45011e-12,1.38281e-08,0.446417,0.921153,0.75302,4.18879e+18,4.04932e+10,3.52535e+06,6.41028e+54
0.00273129,1.68078e-11,3.16905e-12,9.33179e-09,0.446417,0.99378,0.878814,4.18879e+18,6.00039e+10,7.74102e+06,3.67562e+54
0.00234054,2.55759e-12,4.82912e-13,3.6402e-09,0.446417,0.995195,0.980535,4.18879e+18,1.53822e+11,5.08719e+07,6.24935e+53
0.00113309,2.48249e-11,4.70189e-12,1.1341e-08,0.446417,0.998289,0.826298,4.18879e+18,4.93732e+10,5.24109e+06,5.12758e+54
0.00258189,9.75185e-11,1.83972e-11,2.24778e-08,0.446417,0.994342,0.472596,4.18879e+18,2.4911e+10,1.3342e+06,1.14748e+55
0.0777229,3.62588e-11,2.09629e-12,1.37062e-08,0.446417,0.304727,0.756764,4.18879e+18,4.08534e+10,3.58836e+06,2.09371e+54
